=== FRAUDULENT ===
>>> python generate.py --input data/raw/Fake Postings.csv --source-type scam --output-dir D:/ai-scam-detection-data/generated --text-cols title,description,requirements,benefits --label-col fraudulent --sample 600 --seed 101
[1/600] rendered images/Fake Postings_9521_d378ab328515.jpg (sms, light, fraudulent)
[226/500] rendered images/phishing_email_36810_8816032bc01d.png (email, light, fraudulent)
[227/500] rendered images/phishing_email_78141_8599edb25b72.png (telegram, light, fraudulent)
[228/500] rendered images/phishing_email_54970_31538a50429c.jpg (sms, dark, fraudulent)
[229/500] rendered images/phishing_email_53674_43926ee9c7b3.jpg (instagram, light, fraudulent)
[230/500] rendered images/phishing_email_59910_c24343e765e1.png (whatsapp, dark, fraudulent)
[231/500] rendered images/phishing_email_55899_ad6fd6a60406.jpg (telegram, light, fraudulent)
[232/500] rendered images/phishing_email_68556_5ce9f88143cb.jpg (instagram, light, fraudulent)
[233/500] rendered images/phishing_email_44929_427b519fc43a.png (instagram, light, fraudulent)
[234/500] rendered images/phishing_email_44709_ba1cc134acb3.png (telegram, dark, fraudulent)
[235/500] rendered images/phishing_email_17918_347ef437c1f5.png (whatsapp, light, fraudulent)
[236/500] rendered images/phishing_email_79625_daf2ff75249d.jpg (instagram, dark, fraudulent)
[237/500] rendered images/phishing_email_4468_41ca12171bab.png (email, light, fraudulent)
[238/500] rendered images/phishing_email_36168_02b726885f0c.png (whatsapp, dark, fraudulent)
[239/500] rendered images/phishing_email_17337_68ed3bf20d9a.png (email, light, fraudulent)
[240/500] rendered images/phishing_email_42606_799ce84c9493.png (sms, light, fraudulent)
[241/500] rendered images/phishing_email_56476_d88bd8aaa653.jpg (sms, light, fraudulent)
[242/500] rendered images/phishing_email_51304_7873b9223e81.png (telegram, dark, fraudulent)
[243/500] rendered images/phishing_email_61954_fa97794dc614.png (sms, light, fraudulent)
[244/500] rendered images/phishing_email_61335_b9ee03b33bfc.png (instagram, light, fraudulent)
[245/500] rendered images/phishing_email_36865_92267748947a.png (telegram, light, fraudulent)
[246/500] rendered images/phishing_email_57388_9f5a4efacb6b.png (telegram, dark, fraudulent)
[247/500] rendered images/phishing_email_48498_1d0cacbd5ddc.jpg (instagram, light, fraudulent)
[248/500] rendered images/phishing_email_80699_c9366b92c109.jpg (telegram, dark, fraudulent)
[249/500] rendered images/phishing_email_78352_8c55a73333a4.jpg (sms, light, fraudulent)
[250/500] rendered images/phishing_email_46396_314344033aa3.png (instagram, dark, fraudulent)
[251/500] rendered images/phishing_email_78182_abeb917c0168.jpg (whatsapp, light, fraudulent)
[252/500] rendered images/phishing_email_10499_979a637fa724.png (email, light, fraudulent)
[253/500] rendered images/phishing_email_17946_b553ed91d170.jpg (telegram, dark, fraudulent)
[254/500] rendered images/phishing_email_61815_01008f43c545.png (email, light, fraudulent)
[255/500] rendered images/phishing_email_4360_89ddcd6459e0.png (email, dark, fraudulent)
[256/500] rendered images/phishing_email_61214_2e1b89c0c3e6.png (telegram, light, fraudulent)
[257/500] rendered images/phishing_email_50727_108bcecca4c3.jpg (telegram, dark, fraudulent)
[258/500] rendered images/phishing_email_61616_b5f5ac21d384.jpg (sms, light, fraudulent)
[259/500] rendered images/phishing_email_22855_b19f595f9f9e.png (whatsapp, dark, fraudulent)
[260/500] rendered images/phishing_email_58983_2bcc9f6255f0.png (whatsapp, light, fraudulent)
[261/500] rendered images/phishing_email_27962_40e9ff66a217.png (sms, dark, fraudulent)
[262/500] rendered images/phishing_email_39098_c1a06a60d3bd.png (sms, light, fraudulent)
[263/500] rendered images/phishing_email_45477_97289a030ffd.png (email, light, fraudulent)
[264/500] rendered images/phishing_email_56671_d011c9e62fb9.png (whatsapp, dark, fraudulent)
[265/500] rendered images/phishing_email_28198_c727ec6460ea.png (email, dark, fraudulent)
[266/500] rendered images/phishing_email_19707_284572c3f549.jpg (whatsapp, dark, fraudulent)
[267/500] rendered images/phishing_email_70865_97523a542a1c.png (whatsapp, dark, fraudulent)
[268/500] rendered images/phishing_email_36350_d83612808917.png (email, dark, fraudulent)
[269/500] rendered images/phishing_email_27774_8ada8a4b7367.png (whatsapp, dark, fraudulent)
[270/500] rendered images/phishing_email_39504_24dcc30e6538.png (telegram, dark, fraudulent)
[271/500] rendered images/phishing_email_33699_5f2e95719c74.png (instagram, dark, fraudulent)
[272/500] rendered images/phishing_email_54034_595aa08359d3.png (whatsapp, light, fraudulent)
[273/500] rendered images/phishing_email_79275_5e8732ccb5e4.jpg (sms, dark, fraudulent)
[274/500] rendered images/phishing_email_76521_828591081536.png (email, dark, fraudulent)
[275/500] rendered images/phishing_email_14993_31d44798944a.png (email, light, fraudulent)
[276/500] rendered images/phishing_email_76814_89bd2d63386f.png (instagram, light, fraudulent)
[277/500] rendered images/phishing_email_24621_6a571df53d2a.png (telegram, light, fraudulent)
[278/500] rendered images/phishing_email_68179_2bd7bba8c9a4.png (sms, light, fraudulent)
[279/500] rendered images/phishing_email_14466_fe070242c688.jpg (sms, light, fraudulent)
[280/500] rendered images/phishing_email_54283_619c7a75c423.png (whatsapp, light, fraudulent)
[281/500] rendered images/phishing_email_20934_29735e71a787.png (telegram, light, fraudulent)
[282/500] rendered images/phishing_email_10024_eaa619d88e3f.png (telegram, dark, fraudulent)
[283/500] rendered images/phishing_email_60687_dbfde9d182f7.jpg (telegram, dark, fraudulent)
[284/500] rendered images/phishing_email_15018_a25945888af1.png (whatsapp, dark, fraudulent)
[285/500] rendered images/phishing_email_10555_c547b03bccd6.png (email, dark, fraudulent)
[286/500] rendered images/phishing_email_44057_14f9508cd6cb.png (telegram, light, fraudulent)
[287/500] rendered images/phishing_email_60355_7cb936a0ed1b.png (telegram, light, fraudulent)
[288/500] rendered images/phishing_email_61088_c48225b8a107.png (instagram, light, fraudulent)
[289/500] rendered images/phishing_email_15478_47e32cdca5ad.jpg (instagram, light, fraudulent)
[290/500] rendered images/phishing_email_42844_109492a9e0d0.jpg (telegram, light, fraudulent)
[291/500] rendered images/phishing_email_27211_4cf5f2e98808.png (instagram, dark, fraudulent)
[292/500] rendered images/phishing_email_46300_3e5f50d52bff.jpg (sms, dark, fraudulent)
[293/500] rendered images/phishing_email_27488_6cee42f1794d.png (instagram, dark, fraudulent)
[294/500] rendered images/phishing_email_27622_f12fe31dc328.jpg (whatsapp, light, fraudulent)
[295/500] rendered images/phishing_email_3694_87af05279d60.png (email, light, fraudulent)
[296/500] rendered images/phishing_email_71479_da5594b65dbe.png (email, dark, fraudulent)
[297/500] rendered images/phishing_email_59604_7f23fc6961b4.png (email, dark, fraudulent)
[298/500] rendered images/phishing_email_58416_7a693bcdd322.png (whatsapp, light, fraudulent)
[299/500] rendered images/phishing_email_40968_38c253b2289d.png (instagram, light, fraudulent)
[300/500] rendered images/phishing_email_29661_6311958bcec0.png (email, dark, fraudulent)
[301/500] rendered images/phishing_email_81886_83ae2ba4befd.png (instagram, dark, fraudulent)
[302/500] rendered images/phishing_email_45410_3ec785ca9e4f.jpg (sms, dark, fraudulent)
[303/500] rendered images/phishing_email_69613_916ae7add7a1.jpg (whatsapp, light, fraudulent)
[304/500] rendered images/phishing_email_76992_594ce9589c73.png (sms, dark, fraudulent)
[305/500] rendered images/phishing_email_69531_141fa782682c.png (whatsapp, dark, fraudulent)
[306/500] rendered images/phishing_email_36542_707735867a04.jpg (instagram, dark, fraudulent)
[307/500] rendered images/phishing_email_49223_f3b70617c51c.png (telegram, dark, fraudulent)
[308/500] rendered images/phishing_email_59920_5d42f5f8ad41.png (sms, dark, fraudulent)
[309/500] rendered images/phishing_email_26745_2c0a7ae6da0d.jpg (whatsapp, dark, fraudulent)
[310/500] rendered images/phishing_email_51259_086b75027d30.png (email, dark, fraudulent)
[311/500] rendered images/phishing_email_57528_6d14b3d1b21d.png (email, dark, fraudulent)
[312/500] rendered images/phishing_email_47590_b34a325f0883.png (sms, dark, fraudulent)
[313/500] rendered images/phishing_email_43987_f4813eb52fea.png (instagram, light, fraudulent)
[314/500] rendered images/phishing_email_79188_9d8af55cc10c.jpg (whatsapp, dark, fraudulent)
[315/500] rendered images/phishing_email_76656_c9ac11d3411a.png (whatsapp, light, fraudulent)
[316/500] rendered images/phishing_email_29966_0ee1f4173b4f.png (telegram, dark, fraudulent)
[317/500] rendered images/phishing_email_48374_32b8cfe4b4e1.png (telegram, light, fraudulent)
[318/500] rendered images/phishing_email_41520_6d08b94b585d.png (sms, dark, fraudulent)
[319/500] rendered images/phishing_email_19282_ffdf4dce240d.jpg (sms, light, fraudulent)
[320/500] rendered images/phishing_email_62301_d0c47289f555.png (email, dark, fraudulent)
[321/500] rendered images/phishing_email_46438_24564be60027.png (telegram, dark, fraudulent)
[322/500] rendered images/phishing_email_60251_b2286ef46aaf.jpg (whatsapp, dark, fraudulent)
[323/500] rendered images/phishing_email_80756_38c2d7447a6d.png (email, dark, fraudulent)
[324/500] rendered images/phishing_email_52787_6eb8c3b26fd3.png (instagram, dark, fraudulent)
[325/500] rendered images/phishing_email_78371_2d12ba7fcba4.png (telegram, dark, fraudulent)
[326/500] rendered images/phishing_email_26692_8ff9cc76ab57.png (instagram, dark, fraudulent)
[327/500] rendered images/phishing_email_27909_8a80c051c7cd.png (email, light, fraudulent)
[328/500] rendered images/phishing_email_22867_b5f85750692d.jpg (sms, light, fraudulent)
[329/500] rendered images/phishing_email_47088_babce48030bb.png (whatsapp, light, fraudulent)
[330/500] rendered images/phishing_email_53183_5ac823e20ca7.png (email, dark, fraudulent)
[331/500] rendered images/phishing_email_43906_73fab1407d0e.png (telegram, light, fraudulent)
[332/500] rendered images/phishing_email_20696_804a8d9b8a70.png (email, dark, fraudulent)
[333/500] rendered images/phishing_email_19568_66cf08d041b2.png (email, dark, fraudulent)
[334/500] rendered images/phishing_email_51791_e3f37643d5f1.png (whatsapp, light, fraudulent)
[335/500] rendered images/phishing_email_27718_85e54e0ae1a2.png (sms, light, fraudulent)
[336/500] rendered images/phishing_email_71456_21be95b92e5e.png (email, light, fraudulent)
[337/500] rendered images/phishing_email_52556_42915ebb5be5.png (email, light, fraudulent)
[338/500] rendered images/phishing_email_54528_2c0303aa1eae.png (instagram, dark, fraudulent)
[339/500] rendered images/phishing_email_40348_974e55350924.png (telegram, dark, fraudulent)
[340/500] rendered images/phishing_email_56196_d7b7ca360572.jpg (whatsapp, dark, fraudulent)
[341/500] rendered images/phishing_email_28172_a02b3b590a71.png (sms, dark, fraudulent)
[342/500] rendered images/phishing_email_79910_36f65d6ff302.png (telegram, dark, fraudulent)
[343/500] rendered images/phishing_email_15252_c5ccfbde24d1.png (telegram, dark, fraudulent)
[344/500] rendered images/phishing_email_82185_7555a9b3e8b7.png (whatsapp, dark, fraudulent)
[345/500] rendered images/phishing_email_22640_a4064ccfd3c3.png (telegram, dark, fraudulent)
[346/500] rendered images/phishing_email_45974_a095901bc832.png (whatsapp, dark, fraudulent)
[347/500] rendered images/phishing_email_67502_198d0a656c10.png (telegram, dark, fraudulent)
[348/500] rendered images/phishing_email_29299_9c46886db2f2.png (sms, dark, fraudulent)
[349/500] rendered images/phishing_email_19964_8eb3710670b4.png (instagram, light, fraudulent)
[350/500] rendered images/phishing_email_78178_d286df9e1b19.png (instagram, light, fraudulent)
[351/500] rendered images/phishing_email_67515_d07bd3121713.png (whatsapp, dark, fraudulent)
[352/500] rendered images/phishing_email_18122_e95e18573f05.png (whatsapp, dark, fraudulent)
[353/500] rendered images/phishing_email_40741_965e33883f90.jpg (telegram, light, fraudulent)
[354/500] rendered images/phishing_email_50175_8ed0b57f8056.png (email, light, fraudulent)
[355/500] rendered images/phishing_email_68110_1a2c1c0993e4.png (instagram, light, fraudulent)
[356/500] rendered images/phishing_email_21084_7fc76e5a05a8.jpg (sms, dark, fraudulent)
[357/500] rendered images/phishing_email_18503_6d1a18526046.png (email, dark, fraudulent)
[358/500] rendered images/phishing_email_18325_d808a1452496.jpg (whatsapp, light, fraudulent)
[359/500] rendered images/phishing_email_44819_1715ac838dff.png (telegram, dark, fraudulent)
[360/500] rendered images/phishing_email_79925_1075f4272ac4.png (email, light, fraudulent)
[361/500] rendered images/phishing_email_79066_c8c7ec63654b.png (whatsapp, dark, fraudulent)
[362/500] rendered images/phishing_email_14462_1e89b3b2e307.png (instagram, light, fraudulent)
[363/500] rendered images/phishing_email_78065_a3d630466d64.png (email, dark, fraudulent)
[364/500] rendered images/phishing_email_28388_e5c0407a6fb6.png (sms, light, fraudulent)
[365/500] rendered images/phishing_email_29444_7ed7aa411cbb.png (email, light, fraudulent)
[366/500] rendered images/phishing_email_62445_250734c605fd.png (telegram, light, fraudulent)
[367/500] rendered images/phishing_email_28320_a3261b8c850e.png (email, dark, fraudulent)
[368/500] rendered images/phishing_email_19736_2a9ec1b1a861.jpg (sms, dark, fraudulent)
[369/500] rendered images/phishing_email_80732_2f24360b3c3f.png (email, light, fraudulent)
[370/500] rendered images/phishing_email_26596_3e3f6f302102.png (sms, dark, fraudulent)
[371/500] rendered images/phishing_email_65913_5fe06cf538d7.png (sms, dark, fraudulent)
[372/500] rendered images/phishing_email_59579_614f61d2ce5a.png (instagram, dark, fraudulent)
[373/500] rendered images/phishing_email_81383_3147667bb4bc.png (instagram, light, fraudulent)
[374/500] rendered images/phishing_email_3705_2fe595e0490c.png (telegram, dark, fraudulent)
[375/500] rendered images/phishing_email_78240_8abd78834f9a.png (sms, light, fraudulent)
[376/500] rendered images/phishing_email_52189_e9e7fa253f42.png (sms, dark, fraudulent)
[377/500] rendered images/phishing_email_71367_22976dd2f292.png (email, dark, fraudulent)
[378/500] rendered images/phishing_email_26378_39af69b3b05f.png (email, light, fraudulent)
[379/500] rendered images/phishing_email_26620_7739db2239c2.png (telegram, dark, fraudulent)
[380/500] rendered images/phishing_email_64906_318016dbd3c8.png (sms, light, fraudulent)
[381/500] rendered images/phishing_email_70292_df28322b57f1.png (sms, light, fraudulent)
[382/500] rendered images/phishing_email_81111_b1653fc5764c.jpg (whatsapp, light, fraudulent)
[383/500] rendered images/phishing_email_39483_6a6c41d0617e.png (instagram, dark, fraudulent)
[384/500] rendered images/phishing_email_18305_5b82796f4344.jpg (sms, light, fraudulent)
[385/500] rendered images/phishing_email_76208_4168d956130f.jpg (telegram, light, fraudulent)
[386/500] rendered images/phishing_email_32782_a4393fd31ddc.png (email, dark, fraudulent)
[387/500] rendered images/phishing_email_28397_99055d47d357.png (email, light, fraudulent)
[388/500] rendered images/phishing_email_23025_03264579e741.png (whatsapp, dark, fraudulent)
[389/500] rendered images/phishing_email_28811_03098434b1ab.png (telegram, light, fraudulent)
[390/500] rendered images/phishing_email_40997_f93405205c25.jpg (telegram, light, fraudulent)
[391/500] rendered images/phishing_email_4824_218ad59bf35f.png (whatsapp, dark, fraudulent)
[392/500] rendered images/phishing_email_28436_63a721c054e9.png (telegram, dark, fraudulent)
[393/500] rendered images/phishing_email_58272_d0464a495b4d.png (sms, light, fraudulent)
[394/500] rendered images/phishing_email_60440_23490c23b6e8.jpg (instagram, dark, fraudulent)
[395/500] rendered images/phishing_email_29191_3a1f376c2c54.png (email, dark, fraudulent)
[396/500] rendered images/phishing_email_57421_9eb493e14102.png (whatsapp, light, fraudulent)
[397/500] rendered images/phishing_email_34618_0da380b70e5f.png (telegram, dark, fraudulent)
[398/500] rendered images/phishing_email_28298_467d502f2580.png (email, light, fraudulent)
[399/500] rendered images/phishing_email_46077_3eca980a5449.png (sms, dark, fraudulent)
[400/500] rendered images/phishing_email_79927_095a81768697.png (sms, light, fraudulent)
[401/500] rendered images/phishing_email_76987_1ecec2deb825.png (instagram, light, fraudulent)
[402/500] rendered images/phishing_email_53574_5a19fbd9b03f.png (sms, dark, fraudulent)
[403/500] rendered images/phishing_email_79745_2f9bf5643794.png (instagram, light, fraudulent)
[404/500] rendered images/phishing_email_80764_2e97ffbd44c2.jpg (instagram, light, fraudulent)
[405/500] rendered images/phishing_email_39506_be0de3493290.jpg (instagram, light, fraudulent)
[406/500] rendered images/phishing_email_3916_2cbc06c86612.jpg (whatsapp, dark, fraudulent)
[407/500] rendered images/phishing_email_17626_cdbfafb9fe69.png (telegram, dark, fraudulent)
[408/500] rendered images/phishing_email_70364_84f5c1073070.png (sms, dark, fraudulent)
[409/500] rendered images/phishing_email_56727_a94cf2da79d8.png (instagram, light, fraudulent)
[410/500] rendered images/phishing_email_80809_270e3956dfb0.png (whatsapp, dark, fraudulent)
[411/500] rendered images/phishing_email_67379_b0b05594c058.jpg (sms, dark, fraudulent)
[412/500] rendered images/phishing_email_68247_943ff331a675.png (email, dark, fraudulent)
[413/500] rendered images/phishing_email_9482_86c7a766d9be.png (whatsapp, dark, fraudulent)
[414/500] rendered images/phishing_email_63636_df425f77a72e.png (telegram, dark, fraudulent)
[415/500] rendered images/phishing_email_14739_96cc7bc72fdb.jpg (instagram, light, fraudulent)
[416/500] rendered images/phishing_email_18825_a6809041a970.png (whatsapp, light, fraudulent)
[417/500] rendered images/phishing_email_69329_8abd5926d6e0.png (whatsapp, dark, fraudulent)
[418/500] rendered images/phishing_email_20514_1cbfec71cfb1.png (email, dark, fraudulent)
[419/500] rendered images/phishing_email_69269_f036c119087d.jpg (telegram, light, fraudulent)
[420/500] rendered images/phishing_email_47864_d56444d5b1d9.png (email, light, fraudulent)
[421/500] rendered images/phishing_email_4017_6a64994dc67c.jpg (sms, light, fraudulent)
[422/500] rendered images/phishing_email_20598_60cec99d218f.png (telegram, light, fraudulent)
[423/500] rendered images/phishing_email_53745_2a97e7c0fbf4.png (telegram, dark, fraudulent)
[424/500] rendered images/phishing_email_46893_017f9205a38e.jpg (sms, dark, fraudulent)
[425/500] rendered images/phishing_email_24281_03ea3d5d2843.png (email, light, fraudulent)
[426/500] rendered images/phishing_email_24486_fb528d5e1017.png (email, light, fraudulent)
[427/500] rendered images/phishing_email_67377_0b2e4bc116e3.png (email, light, fraudulent)
[428/500] rendered images/phishing_email_42367_4663f129fe5a.png (sms, dark, fraudulent)
[429/500] rendered images/phishing_email_77087_32d65b8c0389.png (whatsapp, light, fraudulent)
[430/500] rendered images/phishing_email_63400_bb251d648661.png (whatsapp, dark, fraudulent)
[431/500] rendered images/phishing_email_67730_f068bdfe7497.jpg (sms, light, fraudulent)
[432/500] rendered images/phishing_email_23905_87ce43d4ce49.jpg (instagram, dark, fraudulent)
[433/500] rendered images/phishing_email_26514_5ab1f423ec5c.jpg (instagram, dark, fraudulent)
[434/500] rendered images/phishing_email_43088_7592f83592ee.png (email, light, fraudulent)
[435/500] rendered images/phishing_email_33773_ef9cb4841a24.png (sms, light, fraudulent)
[436/500] rendered images/phishing_email_80028_88924086d80a.png (telegram, dark, fraudulent)
[437/500] rendered images/phishing_email_31446_6ac6f17abb58.png (email, light, fraudulent)
[438/500] rendered images/phishing_email_65291_0be2d34b851d.png (telegram, light, fraudulent)
[439/500] rendered images/phishing_email_43207_36d21aefa524.png (email, light, fraudulent)
[440/500] rendered images/phishing_email_22821_69976c4c677d.png (telegram, light, fraudulent)
[441/500] rendered images/phishing_email_49657_8ab33a86a457.png (whatsapp, dark, fraudulent)
[442/500] rendered images/phishing_email_61752_1eb2de9df13f.png (whatsapp, light, fraudulent)
[443/500] rendered images/phishing_email_26996_68f72caf3790.png (whatsapp, dark, fraudulent)
[444/500] rendered images/phishing_email_29250_3b72bd309201.png (whatsapp, light, fraudulent)
[445/500] rendered images/phishing_email_53121_bb681dcbe8a9.png (whatsapp, light, fraudulent)
[446/500] rendered images/phishing_email_51137_31e0d39d74ce.png (telegram, light, fraudulent)
[447/500] rendered images/phishing_email_24415_feea9987c338.png (instagram, light, fraudulent)
[448/500] rendered images/phishing_email_55554_45be357c6721.png (email, light, fraudulent)
[449/500] rendered images/phishing_email_57106_41070d963dfb.jpg (whatsapp, dark, fraudulent)
[450/500] rendered images/phishing_email_38130_07b6cf80063d.png (sms, light, fraudulent)
[451/500] rendered images/phishing_email_34656_d29a811ec9db.png (instagram, dark, fraudulent)
[452/500] rendered images/phishing_email_76901_8b996644ce51.jpg (whatsapp, dark, fraudulent)
[453/500] rendered images/phishing_email_28918_2f7ce13de33b.png (email, dark, fraudulent)
[454/500] rendered images/phishing_email_15397_1939ee88e392.jpg (telegram, light, fraudulent)
[455/500] rendered images/phishing_email_49837_faed64d6ec2b.png (sms, dark, fraudulent)
[456/500] rendered images/phishing_email_64969_1ccadaff24de.jpg (telegram, light, fraudulent)
[457/500] rendered images/phishing_email_4373_b60f9ab9b9bb.png (sms, dark, fraudulent)
[458/500] rendered images/phishing_email_69630_4c86a705c503.png (email, light, fraudulent)
[459/500] rendered images/phishing_email_32057_d4209cf9c32a.png (instagram, dark, fraudulent)
[460/500] rendered images/phishing_email_58170_0af786a5d194.png (whatsapp, light, fraudulent)
[461/500] rendered images/phishing_email_58972_21475b50e12f.png (instagram, dark, fraudulent)
[462/500] rendered images/phishing_email_65410_86b5fd1f8359.png (sms, light, fraudulent)
[463/500] rendered images/phishing_email_69819_2de3e8157118.png (instagram, light, fraudulent)
[464/500] rendered images/phishing_email_80050_2ea0c7ad9542.png (whatsapp, light, fraudulent)
[465/500] rendered images/phishing_email_23408_4e105d07cb7b.png (instagram, dark, fraudulent)
[466/500] rendered images/phishing_email_33517_6efd2d2dba51.png (whatsapp, light, fraudulent)
[467/500] rendered images/phishing_email_9328_30c9dae4683b.png (email, light, fraudulent)
[468/500] rendered images/phishing_email_53520_f8ef8d6b5d24.png (sms, dark, fraudulent)
[469/500] rendered images/phishing_email_35289_d14906955e60.png (sms, dark, fraudulent)
[470/500] rendered images/phishing_email_20686_f82ef7b0be9c.png (email, light, fraudulent)
[471/500] rendered images/phishing_email_23203_bde44013f37d.png (telegram, light, fraudulent)
[472/500] rendered images/phishing_email_46904_af7372c2763b.png (sms, dark, fraudulent)
[473/500] rendered images/phishing_email_26394_41ddb96f2ae7.png (sms, dark, fraudulent)
[474/500] rendered images/phishing_email_38192_3f74cb5c722b.png (instagram, light, fraudulent)
[475/500] rendered images/phishing_email_43803_9ba781ca7d78.png (instagram, dark, fraudulent)
[476/500] rendered images/phishing_email_19038_fd0b46d92070.png (email, dark, fraudulent)
[477/500] rendered images/phishing_email_37831_2d09213b9ccf.png (whatsapp, light, fraudulent)
[478/500] rendered images/phishing_email_70042_12ee8232bed6.png (whatsapp, light, fraudulent)
[479/500] rendered images/phishing_email_28496_46adafe33084.png (instagram, light, fraudulent)
[480/500] rendered images/phishing_email_70104_82e7151697bf.png (sms, light, fraudulent)
[481/500] rendered images/phishing_email_77595_13c55f03a76d.png (email, dark, fraudulent)
[482/500] rendered images/phishing_email_27218_df054eda0bd2.jpg (telegram, dark, fraudulent)
[483/500] rendered images/phishing_email_81568_acce948a546e.png (telegram, dark, fraudulent)
[484/500] rendered images/phishing_email_33006_a47bce3dc085.png (email, dark, fraudulent)
[485/500] rendered images/phishing_email_22644_bde2e633a740.png (email, light, fraudulent)
[486/500] rendered images/phishing_email_77991_2d352ab64b08.jpg (sms, dark, fraudulent)
[487/500] rendered images/phishing_email_76767_75a24a5e9fa4.png (email, light, fraudulent)
[488/500] rendered images/phishing_email_82114_c4557973a5d7.png (telegram, dark, fraudulent)
[489/500] rendered images/phishing_email_37056_53044e7abf49.png (email, dark, fraudulent)
[490/500] rendered images/phishing_email_32818_05485a934adc.jpg (instagram, light, fraudulent)
[491/500] rendered images/phishing_email_14864_78e5ee84897d.png (whatsapp, light, fraudulent)
[492/500] rendered images/phishing_email_55427_35a0ad9cb10a.png (whatsapp, dark, fraudulent)
[493/500] rendered images/phishing_email_82250_c48689ef6aa4.png (sms, light, fraudulent)
[494/500] rendered images/phishing_email_32780_76622083ed06.png (telegram, dark, fraudulent)
[495/500] rendered images/phishing_email_29748_acc0b232c3f8.png (sms, light, fraudulent)
[496/500] rendered images/phishing_email_58474_c9efdc4fbba6.png (email, light, fraudulent)
[497/500] rendered images/phishing_email_69680_0a98d8d2e2d1.png (instagram, light, fraudulent)
[498/500] rendered images/phishing_email_40207_cb3957b85e4a.jpg (telegram, light, fraudulent)
[499/500] rendered images/phishing_email_53851_017d0e30e5ca.png (sms, dark, fraudulent)
[500/500] rendered images/phishing_email_40680_b4c28702ee24.png (sms, light, fraudulent)

Wrote 500 samples. Manifest: D:\ai-scam-detection-data\generated\manifest.csv
>>> python generate.py --input data/raw/fraud_email_.csv --source-type email --output-dir D:/ai-scam-detection-data/generated --label-filter fraudulent --sample 350 --seed 106
[1/350] rendered images/fraud_email__9012_1395ede8e1de.png (email, dark, fraudulent)
[2/350] rendered images/fraud_email__332_e9897fdcf730.png (email, dark, fraudulent)
[3/350] rendered images/fraud_email__10470_ae587b418249.png (email, dark, fraudulent)
[4/350] rendered images/fraud_email__9974_e97fc05794fe.png (email, light, fraudulent)
[5/350] rendered images/fraud_email__8946_ccbec6b8c43a.png (email, dark, fraudulent)
[6/350] rendered images/fraud_email__1072_f2ac1e7c8820.png (email, dark, fraudulent)
[7/350] rendered images/fraud_email__4872_b28eb3885f21.png (email, light, fraudulent)
[8/350] rendered images/fraud_email__1195_50c8fb232d1d.png (email, light, fraudulent)
[9/350] rendered images/fraud_email__3581_58c457067b7d.png (email, light, fraudulent)
[10/350] rendered images/fraud_email__9325_bb4794c97ef1.png (email, light, fraudulent)
[11/350] rendered images/fraud_email__6843_d25c40333dee.png (email, dark, fraudulent)
[12/350] rendered images/fraud_email__8195_50d090946838.png (email, dark, fraudulent)
[13/350] rendered images/fraud_email__8443_2d4bcb37d41f.png (email, dark, fraudulent)
[14/350] rendered images/fraud_email__5317_610626878041.png (email, dark, fraudulent)
[15/350] rendered images/fraud_email__4204_3fda720f5a5c.png (email, dark, fraudulent)
[16/350] rendered images/fraud_email__8787_4cf42d1d2f69.png (email, dark, fraudulent)
[17/350] rendered images/fraud_email__5239_8c47f9c9661a.png (email, light, fraudulent)
[18/350] rendered images/fraud_email__9106_203d712615e1.png (email, light, fraudulent)
[19/350] rendered images/fraud_email__2608_6363ddb4c3d3.png (email, light, fraudulent)
[20/350] rendered images/fraud_email__3460_87e3cd2df756.png (email, light, fraudulent)
[21/350] rendered images/fraud_email__5181_e3eb5335e414.png (email, light, fraudulent)
[22/350] rendered images/fraud_email__6873_b81c98c5cc7c.png (email, light, fraudulent)
[23/350] rendered images/fraud_email__9240_a0743bf1a5af.png (email, light, fraudulent)
[24/350] rendered images/fraud_email__6606_2aa7b80578fa.png (email, dark, fraudulent)
[25/350] rendered images/fraud_email__1408_413362eab1ef.png (email, dark, fraudulent)
[26/350] rendered images/fraud_email__5393_0e54735196ed.png (email, dark, fraudulent)
[27/350] rendered images/fraud_email__6563_4182a0f22dd4.png (email, light, fraudulent)
[28/350] rendered images/fraud_email__6223_44f00f5e8e56.png (email, dark, fraudulent)
[29/350] rendered images/fraud_email__3400_e336441552b1.png (email, dark, fraudulent)
[30/350] rendered images/fraud_email__2656_cce76f97a136.png (email, light, fraudulent)
[31/350] rendered images/fraud_email__8136_9e2a06bccb15.png (email, dark, fraudulent)
[32/350] rendered images/fraud_email__1605_f5df940b8c92.png (email, light, fraudulent)
[33/350] rendered images/fraud_email__701_5d65885205fb.png (email, light, fraudulent)
[34/350] rendered images/fraud_email__1723_d8202c35c925.png (email, dark, fraudulent)
[35/350] rendered images/fraud_email__6034_6f0712dcaff3.png (email, dark, fraudulent)
[36/350] rendered images/fraud_email__1881_50cb553340a8.png (email, dark, fraudulent)
[37/350] rendered images/fraud_email__3467_1f5d14c59216.png (email, dark, fraudulent)
[38/350] rendered images/fraud_email__7026_3f3a5e7b7571.png (email, light, fraudulent)
[39/350] rendered images/fraud_email__8301_71348aa6f109.png (email, light, fraudulent)
[40/350] rendered images/fraud_email__10430_688914669a9a.png (email, light, fraudulent)
[41/350] rendered images/fraud_email__5824_569d689d74f5.png (email, light, fraudulent)
